id,text,date,isRetweet,isDeleted,device,favorites,retweets,isFlagged
1892344088172646484,https://t.co/BlidhHnH2i,2025-02-19 22:42:43+00:00,na,na,na,106545,19583,f
1892297195606388761,"@bornjuly24_2022 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-19 19:36:23+00:00,na,na,na,0,0,f
1892242622623699357,https://t.co/PMcrOwXejI,2025-02-19 15:59:32+00:00,na,na,na,643588,110129,f
1892042891356168498,"@dogvillecitizen 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-19 02:45:52+00:00,na,na,na,0,0,f
1892012275789135905,https://t.co/xcDIB8Pi30,2025-02-19 00:44:13+00:00,na,na,na,489876,73059,f
1892012075603382664,https://t.co/vtx3xYvguL,2025-02-19 00:43:25+00:00,na,na,na,204125,28851,f
1891572283161944433,"On Trade, I have decided, for purposes of Fairness, that I will charge a RECIPROCAL Tariff meaning, whatever Countries charge the United States of America, we will charge them - No more, no less!

For purposes of this United States Policy, we will consider Countries that use the",2025-02-17 19:35:50+00:00,na,na,na,442889,69483,f
1891571953682481498,https://t.co/eZUiPWNEEE,2025-02-17 19:34:32+00:00,na,na,na,563511,54536,f
1891571874498232512,https://t.co/WTZYKOPVnK,2025-02-17 19:34:13+00:00,na,na,na,423735,41409,f
1891314315052888186,"@shay_jade69 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for Arizona. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-17 02:30:46+00:00,na,na,na,0,0,f
1891250833582363119,"@EmFunny456 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-16 22:18:31+00:00,na,na,na,0,0,f
1891231719010841051,"@ImtheA17 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NORTH CAROLINA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-16 21:02:33+00:00,na,na,na,0,0,f
1891161094166544632,"@journee6716 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-16 16:21:55+00:00,na,na,na,0,0,f
1890905742166626492,"@BellaHuxley3 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-15 23:27:14+00:00,na,na,na,0,0,f
1890858145720791042,"@missiliuo15 

Auto-reply from Team Trump:

We’ll send you IMPORTANT ELECTION UPDATES for NEVADA. Make sure you’re ready to VOTE FOR DONALD J. TRUMP by November 5th.

Text TRUMP to 88022

Share this post: https://t.co/IiaWVAl0My

Reply #stop to opt-out.",2025-02-15 20:18:07+00:00,na,na,na,0,0,f
